id,name,usage,location_id/id
stock.Building5|0|A|4,4,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|9,9,Internal Location,stock.Building5|0|A|
stock.Building5|0|AB|,AB,Internal Location,stock.Building5|0||
stock.Building5|0|AB|2,2,Internal Location,stock.Building5|0|AB|
stock.Building5|0|AB|5,5,Internal Location,stock.Building5|0|AB|
stock.Building5|0|AC|,AC,Internal Location,stock.Building5|0||
stock.Building5|0|AC|2,2,Internal Location,stock.Building5|0|AC|
stock.Building5|0|AC|3,3,Internal Location,stock.Building5|0|AC|
stock.Building5|0|AF|,AF,Internal Location,stock.Building5|0||
stock.Building5|0|AF|2,2,Internal Location,stock.Building5|0|AF|
stock.Building5|0|B|,B,Internal Location,stock.Building5|0||
stock.Building5|0|B|16,16,Internal Location,stock.Building5|0|B|
stock.Building5|0|B|8,8,Internal Location,stock.Building5|0|B|
stock.Building5|0|BB|,BB,Internal Location,stock.Building5|0||
stock.Building5|0|BB|3,3,Internal Location,stock.Building5|0|BB|
stock.Building5|0|C|,C,Internal Location,stock.Building5|0||
stock.Building5|0|C|10,10,Internal Location,stock.Building5|0|C|
stock.Building5|0|C|16,16,Internal Location,stock.Building5|0|C|
stock.Building5|0|D|,D,Internal Location,stock.Building5|0||
stock.Building5|0|D|14,14,Internal Location,stock.Building5|0|D|
stock.Building5|0|D|4,4,Internal Location,stock.Building5|0|D|
stock.Building5|0|E|,E,Internal Location,stock.Building5|0||
stock.Building5|0|F|,F,Internal Location,stock.Building5|0||
stock.Building5|0|G|,G,Internal Location,stock.Building5|0||
stock.Building5|0|G|18,18,Internal Location,stock.Building5|0|G|
stock.Building5|0|G|4,4,Internal Location,stock.Building5|0|G|
stock.Building5|0|M|,M,Internal Location,stock.Building5|0||
stock.Building5|0|M|1,1,Internal Location,stock.Building5|0|M|
stock.Building5|0|Q|,Q,Internal Location,stock.Building5|0||
stock.Building5|0|R|,R,Internal Location,stock.Building5|0||
stock.Building5|0|S|,S,Internal Location,stock.Building5|0||
stock.Building5|0|S|1,1,Internal Location,stock.Building5|0|S|
stock.Building5|10R||,10R,Internal Location,stock.Building5|||
stock.Building5|10R|C|,C,Internal Location,stock.Building5|10R||
stock.Building5|10R|C|1,1,Internal Location,stock.Building5|10R|C|
stock.Building5|10R|C|2,2,Internal Location,stock.Building5|10R|C|
stock.Building5|10R|C|3,3,Internal Location,stock.Building5|10R|C|
stock.Building5|10R|C|5,5,Internal Location,stock.Building5|10R|C|
stock.Building5|10R|D|,D,Internal Location,stock.Building5|10R||
stock.Building5|10R|D|3,3,Internal Location,stock.Building5|10R|D|
stock.Building5|10R|G|,G,Internal Location,stock.Building5|10R||
stock.Building5|10R|G|3,3,Internal Location,stock.Building5|10R|G|
stock.Building5|10W||,10W,Internal Location,stock.Building5|||
stock.Building5|10W|A|,A,Internal Location,stock.Building5|10W||
stock.Building5|10W|A|1,1,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|13,13,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|14,14,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|15,15,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|16,16,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|2,2,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|3,3,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|4,4,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|5,5,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|6,6,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|7,7,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|A|8,8,Internal Location,stock.Building5|10W|A|
stock.Building5|10W|B|,B,Internal Location,stock.Building5|10W||
stock.Building5|10W|B|1,1,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|10,10,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|11,11,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|12,12,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|13,13,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|14,14,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|15,15,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|19,19,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|2,2,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|20,20,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|22,22,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|23,23,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|3,3,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|4,4,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|5,5,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|6,6,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|7,7,Internal Location,stock.Building5|10W|B|
stock.Building5|10W|B|8,8,Internal Location,stock.Building5|10W|B|
